FirstName;LastName;Sex;BirthDate;PassengerDocument_RU;PassengerDocument_INTL;CardNumber;ETicketNumber;TravelClass;DepartDate;DepartTime;ArrivalDate;ArrivalTime;FlightNumber;From;Dest;Fare;CityFrom;CityTo;CountryFrom;CountryTo;AgentInfo;Bonus;LoyaltyLevelDT;LoyaltyNumberDT;LoyaltyLevelFB;LoyaltyNumberFB;LoyaltyLevelKE;LoyaltyNumberKE;LoyaltyLevelSU;LoyaltyNumberSU;Codeshare
DAVID;BELIKOV;MALE;;;;DT 874063908;;Y;14.04.2017;;;;AF125;CDG;PEK;YFLXRK;PARIS;BEIJING;FRANCE;CHINA;;Delta SkyMiles;Elite+;DT 874063908;;;;;;;False
IULIIA;DUBININA;FEMALE;;;;;6524446761485816.0;;05.05.2017;;;;AF125;CDG;PEK;YOAZBP;PARIS;BEIJING;FRANCE;CHINA;;;;;;;;;;;False
ARTEMIY;TIHONOV;MALE;;;;;;;01.05.2017;;;;AF128;CDG;PEK;;PARIS;BEIJING;FRANCE;CHINA;;;Elite;DT 579002655;;;;;;;False
DANIEL;GORIACHEV;MALE;;;;;7618838886192014.0;;27.04.2017;;;;AF128;CDG;PEK;SEEVXB;PARIS;BEIJING;FRANCE;CHINA;;;;;;;;;Basic;SU 830632733;False
MAKAR;VORONOV;MALE;;;;;9637882628554568.0;;18.04.2017;;;;AF128;CDG;PEK;VGGXUE;PARIS;BEIJING;FRANCE;CHINA;;;;;;;;;;;False
PAULINE;MALININA;FEMALE;;;;;4155841978456110.0;;20.04.2017;;;;AF128;CDG;PEK;WMGCID;PARIS;BEIJING;FRANCE;CHINA;;;;;;;;;;;False
RUSLAN;ZHAROV;MALE;;;;;;;06.05.2017;;;;AF128;CDG;PEK;;PARIS;BEIJING;FRANCE;CHINA;;;;;;;Elite;KE 161638915;;;False
KIRA;ISAEVA;FEMALE;;;;;;;03.05.2017;;;;AF1464;CDG;LED;;PARIS;SAINT PETERSBURG;FRANCE;RUSSIAN FEDERATION;;;Basic;DT 89985808;;;;;;;False
SOFYA;SURKOVA;FEMALE;;;;;;;19.05.2017;;;;AF1464;CDG;LED;;PARIS;SAINT PETERSBURG;FRANCE;RUSSIAN FEDERATION;;;;;Elite+;FB 791430460;;;;;False
VASILISA;GERASIMOVA;FEMALE;;;;KE 550815703;;;18.04.2017;;;;AF382;CDG;PEK;YRSTNU;PARIS;BEIJING;FRANCE;CHINA;;Korean Air SKYPASS;;;;;Elite;KE 550815703;Elite;SU 486323575;False
